,step_number,num_node_before_batching,num_edge_before_batching,num_graphs_before_batching,num_node_after_batching,num_edge_after_batching,num_graphs_after_batching
0,0,554,9598,31,576,9984,32
1,1,550,9474,31,576,9984,32
2,2,561,9872,31,576,9984,32
3,3,550,9504,31,576,9984,32
4,4,543,9274,31,576,9984,32
5,5,554,9752,31,576,9984,32
6,6,530,9776,28,576,9984,32
7,7,565,9984,31,576,9984,32
8,8,544,9196,31,576,9984,32
9,9,519,8432,31,576,9984,32
10,10,549,9382,31,576,9984,32
11,11,550,9806,30,576,9984,32
12,12,552,9774,30,576,9984,32
13,13,550,9792,30,576,9984,32
14,14,555,9622,31,576,9984,32
15,15,547,9278,31,576,9984,32
16,16,558,9784,31,576,9984,32
17,17,554,9670,31,576,9984,32
18,18,542,9490,30,576,9984,32
19,19,560,9886,31,576,9984,32
20,20,545,9656,30,576,9984,32
21,21,542,9892,29,576,9984,32
22,22,532,8858,31,576,9984,32
23,23,537,9038,31,576,9984,32
24,24,555,9712,31,576,9984,32
25,25,558,9724,31,576,9984,32
26,26,549,9358,31,576,9984,32
27,27,547,9376,31,576,9984,32
28,28,565,9916,31,576,9984,32
29,29,561,9834,31,576,9984,32
30,30,547,9432,31,576,9984,32
31,31,556,9560,31,576,9984,32
32,32,547,9800,30,576,9984,32
33,33,563,9934,31,576,9984,32
34,34,553,9918,30,576,9984,32
35,35,565,9980,31,576,9984,32
36,36,540,9804,29,576,9984,32
37,37,562,9848,31,576,9984,32
38,38,563,9846,31,576,9984,32
39,39,544,9598,30,576,9984,32
40,40,561,9880,31,576,9984,32
41,41,556,9644,31,576,9984,32
42,42,548,9676,30,576,9984,32
43,43,538,9656,29,576,9984,32
44,44,550,9788,30,576,9984,32
45,45,548,9634,30,576,9984,32
46,46,543,9934,29,576,9984,32
47,47,552,9628,31,576,9984,32
48,48,552,9532,31,576,9984,32
49,49,538,9660,29,576,9984,32
50,50,547,9376,31,576,9984,32
51,51,536,9756,29,576,9984,32
52,52,532,8976,31,576,9984,32
53,53,559,9752,31,576,9984,32
54,54,552,9440,31,576,9984,32
55,55,554,9984,30,576,9984,32
56,56,558,9772,31,576,9984,32
57,57,564,9950,31,576,9984,32
58,58,549,9754,30,576,9984,32
59,59,544,9438,31,576,9984,32
60,60,550,9750,30,576,9984,32
61,61,535,8984,31,576,9984,32
62,62,537,8984,31,576,9984,32
63,63,541,9134,31,576,9984,32
64,64,557,9652,31,576,9984,32
65,65,544,9318,31,576,9984,32
66,66,556,9746,31,576,9984,32
67,67,563,9882,31,576,9984,32
68,68,552,9424,31,576,9984,32
69,69,556,9770,31,576,9984,32
70,70,517,8406,31,576,9984,32
71,71,554,9518,31,576,9984,32
72,72,552,9548,31,576,9984,32
73,73,555,9622,31,576,9984,32
74,74,541,9670,30,576,9984,32
75,75,560,9768,31,576,9984,32
76,76,553,9872,30,576,9984,32
77,77,554,9870,30,576,9984,32
78,78,555,9964,30,576,9984,32
79,79,541,9864,29,576,9984,32
80,80,549,9586,31,576,9984,32
81,81,563,9862,31,576,9984,32
