,step_number,num_node_before_batching,num_edge_before_batching,num_graphs_before_batching,num_node_after_batching,num_edge_after_batching,num_graphs_after_batching
0,0,268,4646,15,320,4992,16
1,1,272,4770,15,320,4992,16
2,2,273,4790,15,320,4992,16
3,3,256,4284,15,320,4992,16
4,4,263,4456,15,320,4992,16
5,5,272,4800,15,320,4992,16
6,6,273,4782,15,320,4992,16
7,7,254,4222,15,320,4992,16
8,8,272,4784,15,320,4992,16
9,9,265,4582,15,320,4992,16
10,10,267,4812,15,320,4992,16
11,11,259,4652,14,320,4992,16
12,12,260,4690,14,320,4992,16
13,13,259,4668,14,320,4992,16
14,14,264,4818,14,320,4992,16
15,15,277,4946,15,320,4992,16
16,16,259,4334,15,320,4992,16
17,17,257,4274,15,320,4992,16
18,18,251,4130,15,320,4992,16
19,19,256,4194,15,320,4992,16
20,20,260,4306,15,320,4992,16
21,21,269,4640,15,320,4992,16
22,22,273,4830,15,320,4992,16
23,23,265,4918,14,320,4992,16
24,24,261,4352,15,320,4992,16
25,25,277,4898,15,320,4992,16
26,26,270,4708,15,320,4992,16
27,27,276,4926,15,320,4992,16
28,28,275,4886,15,320,4992,16
29,29,275,4904,15,320,4992,16
30,30,268,4616,15,320,4992,16
31,31,263,4448,15,320,4992,16
32,32,264,4450,15,320,4992,16
33,33,259,4596,14,320,4992,16
34,34,263,4574,15,320,4992,16
35,35,275,4916,15,320,4992,16
36,36,266,4604,15,320,4992,16
37,37,258,4298,15,320,4992,16
38,38,269,4990,14,320,4992,16
39,39,253,4114,15,320,4992,16
40,40,267,4986,14,320,4992,16
41,41,272,4818,15,320,4992,16
42,42,276,4966,15,320,4992,16
43,43,271,4716,15,320,4992,16
44,44,253,4792,13,320,4992,16
45,45,256,4266,15,320,4992,16
46,46,253,4122,15,320,4992,16
47,47,263,4498,15,320,4992,16
48,48,263,4496,15,320,4992,16
49,49,252,4174,15,320,4992,16
50,50,256,4546,14,320,4992,16
51,51,270,4698,15,320,4992,16
52,52,266,4568,15,320,4992,16
53,53,266,4582,15,320,4992,16
54,54,269,4624,15,320,4992,16
55,55,276,4884,15,320,4992,16
56,56,275,4954,15,320,4992,16
57,57,253,4082,15,320,4992,16
58,58,270,4668,15,320,4992,16
59,59,274,4828,15,320,4992,16
60,60,263,4440,15,320,4992,16
61,61,263,4804,14,320,4992,16
62,62,245,3870,15,320,4992,16
63,63,265,4860,14,320,4992,16
64,64,270,4696,15,320,4992,16
65,65,269,4622,15,320,4992,16
66,66,276,4954,15,320,4992,16
67,67,272,4824,15,320,4992,16
68,68,259,4724,14,320,4992,16
69,69,270,4718,15,320,4992,16
70,70,269,4666,15,320,4992,16
71,71,265,4886,14,320,4992,16
72,72,268,4676,15,320,4992,16
73,73,266,4884,14,320,4992,16
74,74,260,4340,15,320,4992,16
75,75,264,4868,14,320,4992,16
76,76,273,4824,15,320,4992,16
77,77,269,4662,15,320,4992,16
78,78,261,4680,14,320,4992,16
79,79,271,4732,15,320,4992,16
80,80,277,4918,15,320,4992,16
81,81,275,4970,15,320,4992,16
82,82,274,4822,15,320,4992,16
83,83,271,4730,15,320,4992,16
84,84,263,4504,15,320,4992,16
85,85,264,4448,15,320,4992,16
86,86,276,4956,15,320,4992,16
87,87,272,4784,15,320,4992,16
88,88,276,4892,15,320,4992,16
89,89,266,4902,14,320,4992,16
90,90,272,4754,15,320,4992,16
91,91,264,4834,14,320,4992,16
92,92,266,4574,15,320,4992,16
93,93,269,4614,15,320,4992,16
94,94,276,4894,15,320,4992,16
95,95,246,4532,13,320,4992,16
96,96,268,4978,14,320,4992,16
97,97,258,4400,15,320,4992,16
98,98,273,4886,15,320,4992,16
99,99,265,4856,14,320,4992,16
100,100,260,4304,15,320,4992,16
101,101,271,4784,15,320,4992,16
102,102,268,4640,15,320,4992,16
103,103,264,4840,14,320,4992,16
104,104,265,4530,15,320,4992,16
105,105,260,4362,15,320,4992,16
106,106,264,4540,15,320,4992,16
