,step_number,num_node_before_batching,num_edge_before_batching,num_graphs_before_batching,num_node_after_batching,num_edge_after_batching,num_graphs_after_batching
0,0,554,9598,31,1024,16384,32
1,1,549,9438,31,1024,16384,32
2,2,557,9708,31,1024,16384,32
3,3,547,9418,31,1024,16384,32
4,4,537,9212,31,1024,16384,32
5,5,569,10166,31,1024,16384,32
6,6,584,10668,31,1024,16384,32
7,7,543,9260,31,1024,16384,32
8,8,531,8830,31,1024,16384,32
9,9,545,9168,31,1024,16384,32
10,10,568,10174,31,1024,16384,32
11,11,548,9268,31,1024,16384,32
12,12,566,10014,31,1024,16384,32
13,13,572,10232,31,1024,16384,32
14,14,543,9170,31,1024,16384,32
15,15,572,10214,31,1024,16384,32
16,16,545,9372,31,1024,16384,32
17,17,562,9902,31,1024,16384,32
18,18,562,9942,31,1024,16384,32
19,19,566,10102,31,1024,16384,32
20,20,576,10444,31,1024,16384,32
21,21,532,8858,31,1024,16384,32
22,22,541,9202,31,1024,16384,32
23,23,541,9208,31,1024,16384,32
24,24,551,9492,31,1024,16384,32
25,25,561,9756,31,1024,16384,32
26,26,541,9184,31,1024,16384,32
27,27,574,10222,31,1024,16384,32
28,28,552,9536,31,1024,16384,32
29,29,565,10000,31,1024,16384,32
30,30,560,9780,31,1024,16384,32
31,31,572,10352,31,1024,16384,32
32,32,556,9658,31,1024,16384,32
33,33,557,9748,31,1024,16384,32
34,34,566,10072,31,1024,16384,32
35,35,563,9880,31,1024,16384,32
36,36,570,10128,31,1024,16384,32
37,37,561,9870,31,1024,16384,32
38,38,565,9948,31,1024,16384,32
39,39,538,9054,31,1024,16384,32
40,40,567,10048,31,1024,16384,32
41,41,580,10498,31,1024,16384,32
42,42,569,10130,31,1024,16384,32
43,43,569,10054,31,1024,16384,32
44,44,572,10330,31,1024,16384,32
45,45,575,10430,31,1024,16384,32
46,46,552,9488,31,1024,16384,32
47,47,567,10082,31,1024,16384,32
48,48,547,9334,31,1024,16384,32
49,49,558,9870,31,1024,16384,32
50,50,527,8788,31,1024,16384,32
51,51,555,9588,31,1024,16384,32
52,52,557,9640,31,1024,16384,32
53,53,566,10128,31,1024,16384,32
54,54,548,9320,31,1024,16384,32
55,55,576,10396,31,1024,16384,32
56,56,540,9260,31,1024,16384,32
57,57,586,10750,31,1024,16384,32
58,58,524,8606,31,1024,16384,32
59,59,551,9422,31,1024,16384,32
60,60,531,8864,31,1024,16384,32
61,61,545,9222,31,1024,16384,32
62,62,552,9616,31,1024,16384,32
63,63,560,9854,31,1024,16384,32
64,64,563,9882,31,1024,16384,32
65,65,550,9358,31,1024,16384,32
66,66,559,9856,31,1024,16384,32
67,67,522,8590,31,1024,16384,32
68,68,543,9154,31,1024,16384,32
69,69,560,9790,31,1024,16384,32
70,70,568,10166,31,1024,16384,32
71,71,552,9660,31,1024,16384,32
72,72,551,9448,31,1024,16384,32
73,73,589,10866,31,1024,16384,32
74,74,579,10472,31,1024,16384,32
75,75,568,10088,31,1024,16384,32
76,76,548,9440,31,1024,16384,32
77,77,549,9564,31,1024,16384,32
78,78,557,9646,31,1024,16384,32
79,79,551,9458,31,1024,16384,32
80,80,573,10150,31,1024,16384,32
81,81,573,10206,31,1024,16384,32
82,82,556,9656,31,1024,16384,32
83,83,574,10308,31,1024,16384,32
84,84,574,10322,31,1024,16384,32
85,85,544,9166,31,1024,16384,32
86,86,587,10848,31,1024,16384,32
87,87,551,9568,31,1024,16384,32
88,88,556,9690,31,1024,16384,32
89,89,546,9494,31,1024,16384,32
90,90,569,10142,31,1024,16384,32
91,91,528,8730,31,1024,16384,32
92,92,538,9066,31,1024,16384,32
93,93,586,10854,31,1024,16384,32
94,94,546,9186,31,1024,16384,32
95,95,539,9082,31,1024,16384,32
